ID,target
000137c73,627181291.7732201
00021489f,6002297.691128221
0004d7953,6821954034910.283
00056a333,50081462086720.02
00056d8eb,6002297.691128221
0005fc190,2108083775298.0972
000787e86,476485603.319937
0008510a0,6002297.691128221
000895faf,6002297.691128221
000986fba,32920962894692.98
0009efcc5,3144876785662.2075
000dd8f00,6002297.691128221
000e1cdc2,535087962968.79095
00103739c,6002297.691128221
00134b367,231842106731.48215
001788d0d,15880108643110.19
0019c8ad7,7965989404617.348
001a267b9,1212205792688.9365
001a85486,361559017078.21075
001c4de06,6002297.691128221
001f9014b,1030215705588.7793
00216fb94,6002297.691128221
00235690e,5095601937323.768
00240739d,22138964158064.35
0024c3747,6002297.691128221
00297052d,37510023367519.77
002ab8f85,6002297.691128221
002bed5c0,24689268758584.082
002bf3974,23284295584664.51
002d23a26,140361277682.45923
002f27de9,1401280279298.6877
0030d8bb4,38512378630576.47
003146acd,6002297.691128221
003223263,3878878016178.068
00335575e,45690480286771.68
00337cf9d,15975943799064.578
003394397,6002297.691128221
0036358a3,503679590998.89935
003770d30,6002297.691128221
003bed5ea,6002297.691128221
003ea6427,16348371873253.414
003ef8132,6002297.691128221
003fd1723,12751210660383.447
0041861b4,4298203797128.1245
0042b718b,1707213729235.204
004381d8f,2745481186878.5503
0043ca764,6002297.691128221
004486837,40836453506939.36
0045c123e,29240837062724.312
0048915c6,17212359856771.9
004ab9a09,22513972488142.12
004b2e1c9,14866271154424.305
004c54732,5227840291596.795
004cdefce,6002297.691128221
004dd971b,20177553522771.145
004f9329b,6002297.691128221
004fd2bca,3129816771874.459
0054bfedb,2709532021177.7544
0054ec58a,288356229046.0905
00551f45d,20047475358262.01
005777b4c,13882548258072.27
00578d6ea,1430657880060.6433
005802488,586804606202.4717
0059833b6,18202280728071.496
005a70085,1092473298817.7809
005b148a0,6002297.691128221
005c28df4,38071595872536.38
005f8dc26,6002297.691128221
00603c202,79572337347000.42
006049609,2171796832770.9365
00612f47e,107056352698.48338
00647a57f,6002297.691128221
0065853ee,6002297.691128221
006589d5e,1926446438216.0662
006598823,20439770390328.25
0065c093c,21308417722964.55
006738351,6789461948783.518
006a0c6a8,24145148713934.617
006e9efe6,6270551272902.125
006f029d3,6002297.691128221
0070f35a2,1848558235217.8489
007135f85,6002297.691128221
007285433,15259526007023.035
00735e101,1507092686286.2986
0074ecf4e,6002297.691128221
007635fa9,2574068133666.486
007723613,6002297.691128221
007867da9,6002297.691128221
0078bfbd6,3168268430483.048
0078ce229,6002297.691128221
007a89d50,6002297.691128221
007d43dfa,70275704637.24992
007ee9e05,762058435568.3756
007ffeae2,6002297.691128221
00835c85c,6002297.691128221
0084b08f1,111988037753.34842
0087fb290,337678888807.6181
0088a96bd,14860764757558.799
008ac4292,990233733583.0687
008d8cca8,6002297.691128221
008e07b8c,6002297.691128221
008e5e25a,15724152320721.174
0094edcdb,17085460158460.074
00950141c,262940217463.95963
009566ef1,30584254403098.008
0095c81d4,6002297.691128221
0097a6ed4,1132209439713.5295
0098fef9a,7801317937843.974
009b321ec,9621551724305.08
009cd681e,2028576684859.1257
009f34f86,6002297.691128221
009f35cd3,6002297.691128221
009f65109,24009340787812.133
00a19014a,23764337690002.6
00a27e76a,3362734450714.6113
00a3b6ef7,10176553902234.078
00a427603,16809294416670.367
00a6dc8be,6002297.691128221
00a811734,25635480084595.195
00a8f58a7,6002297.691128221
00aaae151,6002297.691128221
00ab17f67,6002297.691128221
00ac2d3a5,15009403760246.877
00adab1b6,8006561662001.772
00aef0d56,6002297.691128221
00b0b06c4,1013749151423.5334
00b0e2303,10554503959233.281
00b1fbbc9,3503089422063.036
00b43e0c1,7918504809191.424
00b7190a8,6002297.691128221
00b722e1b,837265428831.3328
00bba815f,2777748660397.3887
00bbb1c42,6002297.691128221
00bc2b665,6002297.691128221
00bc35689,11086593746440.283
00be23f52,23476564864600.18
00be24ac5,6002297.691128221
00bfd0f70,75224663220.21967
00c02f73e,35524433870753.0
00c08e5b3,17461277272529.854
00c8690ff,538855098003.5883
00c8df4d5,40473588555041.11
00c8e30de,6002297.691128221
00ca3fb04,976903027748.6635
00cabf621,1514425867792.5002
00cb48ae3,12043619427111.662
00cb6b147,2229955934488.9917
00cc91a22,3685405535171.2446
00cd65e9d,38944866347889.5
00cd7d6a8,9430642862337.328
00cdc1483,6002297.691128221
00ce9bea5,32794573402412.08
00cea0091,19285216382378.617
00cea68c6,6002297.691128221
00d5a5975,7913658022359.2
00d80a3a4,194973335334781.53
00d9f3864,1206553734331.725
00da4bd31,12520918637264.742
00df4dd77,6002297.691128221
00e1a55bf,6002297.691128221
00e332971,6002297.691128221
00e5b6b1b,4784640142586.167
00e85d5e3,6002297.691128221
00e90abfa,1226841488632.218
00e9708b4,6002297.691128221
00e9c680f,35345762767115.14
00eaa4394,33001677769.50252
00eae8832,22348953078719.582
00ebefdc0,2107425273914.2495
00ecbcb1b,6730523269396.791
00ed49382,107385938932680.25
00ed87564,6002297.691128221
00ef96cfd,108275965418.1949
00efe7ca3,6002297.691128221
00f36aa18,6002297.691128221
00f3fb071,33154309965760.203
00f43f548,12741031121830.258
00f4d58ec,6002297.691128221
00f56e106,113649509500.59961
00f84d8c2,6263015177387.137
00f92953b,6002297.691128221
00fa1d469,17474936823322.977
00ff96f49,59423527759203.38
0100ce0d8,20798923706221.703
0102ea9e1,6002297.691128221
0104b3af3,1093199437557.8218
010672441,6002297.691128221
010771ca5,6002297.691128221
0108aea9f,6002297.691128221
010a479e1,249091452301.88312
010d0a2dd,25818575371605.77
010e3cea2,6002297.691128221
010e5417b,9440533138479.955
01108a561,350119081080.8511
0110cca98,14185480619905.768
011449698,6002297.691128221
0114795f0,12121720891711.61
011626c20,58648467027122.09
0117c8f27,5454544147895.65
0117dcb47,72104079239362.73
0118c34be,7019471763492.434
0119efcb9,6002297.691128221
011a58e13,6002297.691128221
011b7902b,228433534451482.25
011ca122e,14508512586131.73
012053244,3767773484811.9487
0122a258e,468801351949.2515
0122a4305,6002297.691128221
01230d8ba,6002297.691128221
012414f4e,62533902389150.1
012452125,5328742393068.065
0124529b5,12382999650.767712
012556288,23023373740214.293
01257c24c,6002297.691128221
01258b972,6002297.691128221
0125b64db,21280671795.609013
01295ef92,3815740445644.6387
012a2752f,6002297.691128221
012b6ba95,1592518338020.551
012b96b58,9082377850750.227
012e881b9,2433222832.760941
012f25e94,6002297.691128221
012fa70bb,3109033105700.947
01304fc0a,251593995991.3516
013230913,3639407552234.188
01336ceb8,6002297.691128221
0133b85e7,23522946851713.54
0136f8766,6002297.691128221
0137356b9,1019499281526.0374
013750184,2332078503215.3833
013a3f07c,6002297.691128221
013cc1c13,4572553935186.473
013e96334,25748645031465.71
013fae0b1,6002297.691128221
014076343,6002297.691128221
0140ea0ba,337009519380.0721
0143ee127,246053128324.9728
014461014,51381912809920.32
01446634f,1623581275639.0894
014729fb2,20636054460887.08
014749c88,20219016380366.0
014787fc1,6815132664714.043
014a6143c,331426556978.9861
014af25cd,42167946975206.484
014b5797e,6002297.691128221
014badcb1,1172581364057.5269
014c523b1,21546003875498.6
014e55fdb,6002297.691128221
014ea0456,3902364712061.0034
0151cc525,6002297.691128221
015409983,8887278815809.209
015411bfe,25063739775646.934
01560b792,542880579744.71985
0157b07da,10906369419050.105
01587bbbc,6002297.691128221
0158ba234,2217641794957.8657
01590d52a,209251433298035.72
015a40790,6002297.691128221
015b07817,27049895149845.574
015fc3313,4100892097534.4688
01604ee4b,6002297.691128221
016054375,12550036304826.854
01642dec0,25953752555739.64
0166ab5ea,6002297.691128221
016b405be,1827715465982.5122
016bdc940,10230924697200.396
016c31d1a,1755010273840.103
016d290da,26032178165791.754
016decdd2,2336334313249.095
016ee1214,6002297.691128221
016efef23,6002297.691128221
